ID,marital,housing,loan,contact,y
20952,single,no,no,cellular,否
20953,married,yes,no,cellular,否
20954,single,yes,yes,cellular,否
20955,married,no,no,cellular,否
20956,single,yes,yes,cellular,否
20957,married,yes,no,cellular,否
20958,single,no,no,cellular,否
20959,married,no,yes,cellular,否
20960,married,no,no,unknown,否
20961,divorced,yes,no,cellular,否
20962,married,yes,no,cellular,否
20963,married,no,no,cellular,否
20964,married,yes,no,unknown,否
20965,married,yes,yes,unknown,否
20966,married,yes,no,telephone,否
20967,divorced,no,no,unknown,否
20968,single,no,no,cellular,否
20969,single,no,no,cellular,否
20970,single,yes,no,cellular,否
20971,married,no,no,cellular,否
20972,married,yes,no,unknown,否
20973,married,yes,no,unknown,否
20974,married,yes,yes,unknown,否
20975,married,yes,no,cellular,否
20976,married,yes,no,cellular,否
20977,married,yes,no,cellular,否
20978,married,no,no,cellular,否
20979,married,yes,no,cellular,否
20980,single,no,no,cellular,否
20981,married,yes,no,cellular,否
20982,divorced,yes,no,cellular,否
20983,married,no,no,unknown,否
20984,married,yes,yes,unknown,否
20985,married,yes,no,telephone,否
20986,married,yes,no,cellular,否
20987,single,yes,no,cellular,否
20988,married,yes,no,unknown,否
20989,married,no,no,unknown,否
20990,married,yes,no,cellular,否
20991,married,no,yes,cellular,否
20992,divorced,no,no,cellular,否
20993,married,yes,yes,cellular,否
20994,married,no,no,unknown,否
20995,single,yes,yes,unknown,否
20996,married,no,yes,telephone,否
20997,married,yes,yes,cellular,否
20998,married,no,no,unknown,否
20999,married,no,no,cellular,否
21000,married,yes,no,cellular,否
21001,single,no,no,cellular,否
21002,single,yes,no,cellular,否
21003,divorced,yes,yes,cellular,否
21004,married,yes,no,cellular,否
21005,married,yes,yes,cellular,否
21006,divorced,no,no,unknown,否
21007,married,yes,yes,unknown,否
21008,married,no,no,cellular,否
21009,married,yes,no,unknown,否
21010,single,no,no,telephone,否
21011,married,no,no,unknown,否
21012,married,yes,no,cellular,否
21013,married,yes,no,cellular,否
21014,single,yes,no,cellular,否
21015,single,yes,no,unknown,否
21016,married,yes,no,cellular,否
21017,single,yes,no,unknown,否
21018,married,yes,no,cellular,否
21019,married,yes,no,telephone,否
21020,married,no,no,unknown,否
21021,single,no,no,cellular,否
21022,married,no,no,cellular,否
21023,single,yes,no,unknown,否
21024,single,yes,no,cellular,否
21025,single,yes,no,unknown,否
21026,single,yes,no,cellular,否
21027,married,no,no,cellular,否
21028,divorced,no,no,cellular,否
21029,single,yes,no,cellular,否
21030,single,no,no,cellular,否
21031,single,no,no,cellular,否
21032,married,yes,no,unknown,否
21033,single,no,yes,cellular,否
21034,married,no,no,cellular,否
21035,married,yes,no,cellular,否
21036,divorced,yes,no,unknown,否
21037,single,no,no,cellular,否
21038,single,no,no,unknown,否
21039,single,yes,no,cellular,否
21040,married,no,yes,telephone,否
21041,single,yes,no,cellular,否
21042,married,no,no,unknown,否
21043,single,yes,no,unknown,否
21044,married,yes,yes,cellular,否
21045,married,no,no,unknown,否
21046,married,yes,no,cellular,否
21047,married,yes,no,cellular,否
21048,married,yes,yes,unknown,否
21049,married,no,yes,cellular,否
21050,married,yes,no,cellular,否
21051,married,no,no,telephone,否
21052,single,no,no,cellular,否
21053,married,no,no,cellular,否
21054,married,no,no,cellular,否
21055,divorced,yes,yes,cellular,否
21056,married,yes,no,unknown,否
21057,married,yes,no,cellular,否
21058,married,no,no,cellular,否
21059,married,no,yes,cellular,否
21060,divorced,no,yes,cellular,否
21061,single,no,no,unknown,否
21062,married,no,no,cellular,否
21063,married,no,no,telephone,否
21064,married,no,no,telephone,否
21065,single,yes,no,cellular,否
21066,married,no,no,cellular,否
21067,single,yes,no,unknown,否
21068,married,yes,no,cellular,否
21069,married,yes,no,cellular,否
21070,single,yes,yes,unknown,否
21071,married,yes,yes,cellular,否
21072,married,no,no,cellular,否
21073,married,no,no,cellular,否
21074,divorced,yes,no,cellular,否
21075,married,no,no,unknown,否
21076,married,yes,yes,cellular,否
21077,married,yes,no,unknown,否
21078,single,no,no,cellular,否
21079,single,yes,yes,cellular,否
21080,married,no,no,cellular,否
21081,married,no,no,cellular,否
21082,married,yes,no,unknown,否
21083,divorced,no,no,cellular,否
21084,single,yes,no,cellular,否
21085,married,yes,yes,cellular,否
21086,married,yes,no,unknown,否
21087,divorced,no,no,cellular,否
21088,divorced,yes,no,unknown,否
21089,single,no,no,cellular,否
21090,single,no,yes,cellular,否
21091,single,yes,no,cellular,否
21092,married,no,no,cellular,否
21093,divorced,yes,no,cellular,否
21094,married,yes,yes,unknown,否
21095,married,yes,yes,unknown,否
21096,single,yes,no,unknown,否
21097,married,no,no,cellular,否
21098,single,yes,no,unknown,否
21099,married,no,no,cellular,否
21100,divorced,no,yes,cellular,否
21101,married,no,no,cellular,否
21102,married,no,no,unknown,否
21103,married,no,no,cellular,否
21104,single,yes,no,unknown,否
21105,single,yes,no,unknown,否
21106,single,yes,no,cellular,否
21107,married,no,no,unknown,否
21108,married,yes,no,cellular,否
21109,married,yes,yes,cellular,否
21110,married,yes,no,cellular,否
21111,single,yes,no,cellular,否
21112,divorced,yes,no,cellular,否
21113,single,no,yes,cellular,否
21114,single,yes,no,unknown,否
21115,married,yes,no,cellular,否
21116,married,no,no,cellular,否
21117,married,no,no,cellular,否
21118,single,no,no,cellular,否
21119,single,yes,no,cellular,否
21120,married,yes,no,unknown,否
21121,single,yes,no,unknown,否
21122,married,yes,no,cellular,否
21123,married,yes,no,cellular,否
21124,divorced,yes,no,cellular,否
21125,married,no,no,cellular,否
21126,single,yes,no,cellular,否
21127,married,yes,no,cellular,否
21128,married,no,no,cellular,否
21129,married,no,no,cellular,否
21130,single,no,no,cellular,否
21131,divorced,no,yes,cellular,否
21132,married,no,no,cellular,否
21133,married,yes,yes,cellular,否
21134,married,yes,yes,unknown,否
21135,married,yes,yes,cellular,否
21136,single,no,no,cellular,否
21137,married,yes,no,telephone,否
21138,single,yes,yes,cellular,否
21139,single,no,no,unknown,否
21140,married,no,no,cellular,否
21141,single,yes,no,unknown,否
21142,married,no,yes,unknown,否
21143,divorced,no,no,cellular,否
21144,married,no,no,unknown,否
21145,divorced,no,yes,cellular,否
21146,single,no,no,cellular,否
21147,single,yes,no,cellular,否
21148,single,yes,no,unknown,否
21149,married,yes,no,cellular,否
21150,married,no,no,cellular,否
21151,divorced,no,no,cellular,否
21152,divorced,no,yes,cellular,否
21153,married,no,no,unknown,否
21154,married,yes,no,unknown,否
21155,married,no,no,unknown,否
21156,divorced,yes,yes,cellular,否
21157,married,no,yes,cellular,否
21158,married,yes,no,cellular,否
21159,married,yes,no,cellular,否
21160,married,no,no,unknown,否
21161,married,yes,no,unknown,否
21162,married,yes,no,cellular,否
21163,married,no,no,cellular,否
21164,married,yes,no,unknown,否
21165,single,yes,yes,unknown,否
21166,married,no,no,cellular,否
21167,married,yes,no,cellular,否
21168,married,yes,no,cellular,否
21169,married,yes,no,cellular,否
21170,married,yes,no,unknown,否
21171,divorced,no,no,unknown,否
21172,single,no,yes,cellular,否
21173,married,yes,no,cellular,否
21174,married,yes,no,unknown,否
21175,single,no,yes,cellular,否
21176,single,yes,yes,unknown,否
21177,married,yes,no,unknown,否
21178,married,no,no,cellular,否
21179,single,yes,yes,unknown,否
21180,married,yes,no,cellular,否
21181,single,yes,no,unknown,否
21182,single,no,no,cellular,否
21183,single,yes,no,cellular,否
21184,married,no,no,cellular,否
21185,single,no,no,cellular,否
21186,divorced,no,no,cellular,否
21187,married,yes,yes,cellular,否
21188,married,no,no,cellular,否
21189,single,yes,no,unknown,否
21190,married,no,yes,telephone,否
21191,married,yes,yes,cellular,否
21192,married,yes,yes,cellular,否
21193,married,yes,no,cellular,否
21194,married,yes,no,cellular,否
21195,single,yes,yes,cellular,否
21196,married,yes,no,unknown,否
21197,divorced,no,no,cellular,否
21198,married,yes,no,cellular,否
21199,married,no,no,unknown,否
21200,single,no,no,cellular,否
21201,divorced,yes,no,unknown,否
21202,married,yes,yes,unknown,否
21203,married,no,no,cellular,否
21204,single,yes,no,unknown,否
21205,married,no,no,telephone,否
21206,single,no,no,cellular,否
21207,married,yes,no,unknown,否
21208,married,no,no,cellular,否
21209,married,no,yes,cellular,否
21210,single,yes,no,unknown,否
21211,single,yes,no,telephone,否
21212,married,no,no,unknown,否
21213,married,yes,no,cellular,否
21214,married,yes,no,unknown,否
21215,single,no,no,cellular,否
21216,married,yes,no,unknown,否
21217,divorced,yes,no,cellular,否
21218,married,no,no,unknown,否
21219,married,yes,no,cellular,否
21220,single,no,no,cellular,否
21221,married,yes,yes,cellular,否
21222,married,yes,yes,cellular,否
21223,single,yes,no,cellular,否
21224,single,no,yes,cellular,否
21225,married,no,yes,unknown,否
21226,divorced,yes,yes,cellular,否
21227,divorced,no,yes,unknown,否
21228,single,yes,no,cellular,否
21229,single,no,no,cellular,否
21230,married,no,yes,unknown,否
21231,single,no,no,unknown,否
21232,married,yes,no,cellular,否
21233,married,yes,no,cellular,否
21234,married,no,no,cellular,否
21235,married,no,no,cellular,否
21236,married,no,no,cellular,否
21237,married,yes,yes,telephone,否
21238,married,no,no,cellular,否
21239,single,no,no,cellular,否
21240,married,yes,no,unknown,否
21241,married,yes,no,unknown,否
21242,single,no,no,cellular,否
21243,married,no,no,unknown,否
21244,married,no,no,cellular,否
21245,married,no,no,cellular,否
21246,single,no,no,unknown,否
21247,married,no,no,cellular,否
21248,divorced,no,no,cellular,否
21249,single,yes,no,unknown,否
21250,single,yes,no,cellular,否
21251,married,no,no,cellular,否
21252,married,no,no,cellular,否
21253,single,no,no,cellular,否
21254,single,yes,no,unknown,否
21255,married,no,no,unknown,否
21256,single,yes,yes,cellular,否
21257,married,no,no,cellular,否
21258,divorced,no,no,unknown,否
21259,married,no,no,cellular,否
21260,married,yes,no,telephone,否
21261,single,yes,no,telephone,否
21262,married,no,no,unknown,否
21263,married,yes,no,unknown,否
21264,single,no,no,unknown,否
21265,married,yes,yes,cellular,否
21266,married,yes,no,unknown,否
21267,married,yes,no,cellular,否
21268,married,yes,no,unknown,否
21269,married,no,no,cellular,否
21270,married,yes,no,cellular,否
21271,married,yes,no,cellular,否
21272,divorced,no,no,cellular,否
21273,single,yes,yes,unknown,否
21274,divorced,yes,yes,cellular,否
21275,single,no,no,cellular,否
21276,married,no,yes,unknown,否
21277,divorced,yes,no,cellular,否
21278,single,no,no,cellular,否
21279,married,yes,no,cellular,否
21280,divorced,no,yes,cellular,否
21281,single,yes,no,unknown,否
21282,single,yes,no,cellular,否
21283,married,no,no,telephone,否
21284,married,no,no,cellular,否
21285,married,yes,no,cellular,否
21286,married,no,no,telephone,否
21287,single,no,no,cellular,否
21288,single,no,yes,unknown,否
21289,married,yes,yes,unknown,否
21290,single,yes,no,cellular,否
21291,married,yes,no,cellular,否
21292,married,yes,no,unknown,否
21293,single,yes,yes,cellular,否
21294,married,no,no,cellular,否
21295,single,yes,yes,unknown,否
21296,married,yes,no,unknown,否
21297,married,no,no,telephone,否
21298,single,yes,no,cellular,否
21299,single,no,no,unknown,否
21300,married,yes,no,cellular,否
21301,married,yes,no,unknown,否
21302,married,yes,no,unknown,否
21303,divorced,yes,no,unknown,否
21304,divorced,yes,no,unknown,否
21305,married,no,no,cellular,否
21306,single,yes,no,cellular,否
21307,single,yes,no,cellular,否
21308,single,yes,no,cellular,否
21309,divorced,yes,yes,cellular,否
21310,single,yes,no,cellular,否
21311,married,no,no,cellular,否
21312,married,no,no,cellular,否
21313,divorced,no,no,cellular,否
21314,single,no,no,cellular,否
21315,single,yes,no,unknown,否
21316,married,yes,yes,cellular,否
21317,divorced,no,no,cellular,否
21318,single,yes,no,unknown,否
21319,married,yes,no,unknown,否
21320,married,no,no,cellular,否
21321,married,no,no,cellular,否
21322,married,no,no,cellular,否
21323,married,yes,no,cellular,否
21324,single,yes,no,unknown,否
21325,single,no,yes,telephone,否
21326,single,no,no,cellular,否
21327,single,no,no,cellular,否
21328,married,no,no,cellular,否
21329,married,yes,no,telephone,否
21330,divorced,yes,no,cellular,否
21331,married,yes,no,cellular,否
21332,married,no,no,telephone,否
21333,married,no,no,cellular,否
21334,single,no,no,cellular,否
21335,single,no,no,cellular,否
21336,married,yes,no,unknown,否
21337,married,yes,no,cellular,否
21338,married,no,no,cellular,否
21339,married,yes,no,unknown,否
21340,single,yes,no,cellular,否
21341,married,yes,no,unknown,否
21342,married,no,no,cellular,否
21343,divorced,no,no,cellular,否
21344,single,yes,no,unknown,否
21345,single,yes,no,cellular,否
21346,married,no,no,cellular,否
21347,married,yes,no,cellular,否
21348,married,yes,yes,cellular,否
21349,married,yes,no,unknown,否
21350,single,yes,no,cellular,否
21351,married,yes,no,cellular,否
21352,divorced,no,yes,cellular,否
21353,single,yes,no,unknown,否
21354,married,yes,yes,cellular,否
21355,divorced,yes,no,unknown,否
21356,married,yes,yes,cellular,否
21357,single,no,no,cellular,否
21358,married,no,no,cellular,否
21359,married,yes,no,telephone,否
21360,married,no,no,cellular,否
21361,single,no,no,cellular,否
21362,married,yes,yes,cellular,否
21363,married,yes,no,cellular,否
21364,married,no,yes,cellular,否
21365,married,yes,no,cellular,否
21366,married,yes,no,cellular,否
21367,married,yes,no,unknown,否
21368,single,yes,no,cellular,否
21369,married,no,no,unknown,否
21370,single,no,no,cellular,否
21371,single,no,no,cellular,否
21372,single,yes,no,cellular,否
21373,divorced,yes,yes,cellular,否
21374,married,yes,no,cellular,否
21375,married,yes,no,cellular,否
21376,divorced,no,no,cellular,否
21377,married,no,no,cellular,否
21378,single,yes,yes,cellular,否
21379,married,yes,no,cellular,否
21380,married,yes,no,cellular,否
21381,single,yes,no,cellular,否
21382,single,no,no,cellular,否
21383,married,no,no,cellular,否
21384,married,no,yes,cellular,否
21385,married,yes,no,unknown,否
21386,married,yes,no,unknown,否
21387,divorced,yes,no,cellular,否
21388,married,no,no,cellular,否
21389,married,no,yes,cellular,否
21390,single,yes,no,cellular,否
21391,married,yes,no,cellular,否
21392,married,no,no,telephone,否
21393,divorced,yes,no,cellular,否
21394,single,yes,no,cellular,否
21395,single,yes,no,cellular,否
21396,married,yes,no,cellular,否
21397,married,no,no,cellular,否
21398,married,yes,no,unknown,否
21399,married,yes,no,cellular,否
21400,married,yes,yes,cellular,否
21401,married,yes,no,cellular,否
21402,married,yes,yes,cellular,否
21403,married,yes,yes,unknown,否
21404,married,yes,no,cellular,否
21405,married,yes,no,unknown,否
21406,married,yes,no,cellular,否
21407,married,no,no,cellular,否
21408,married,yes,no,unknown,否
21409,married,yes,no,cellular,否
21410,divorced,yes,no,cellular,否
21411,single,no,no,cellular,否
21412,divorced,no,no,unknown,否
21413,married,yes,no,unknown,否
21414,married,no,no,cellular,否
21415,married,yes,no,cellular,否
21416,married,no,no,unknown,否
21417,married,no,no,cellular,否
21418,married,no,no,cellular,否
21419,married,no,yes,cellular,否
21420,married,no,yes,cellular,否
21421,married,no,no,cellular,否
21422,married,no,no,cellular,否
21423,married,yes,no,unknown,否
21424,single,yes,yes,unknown,否
21425,married,no,no,cellular,否
21426,married,no,yes,unknown,否
21427,married,yes,no,cellular,否
21428,divorced,no,no,cellular,否
21429,married,yes,no,cellular,否
21430,married,no,no,telephone,否
21431,single,no,yes,cellular,否
21432,single,yes,no,cellular,否
21433,married,no,yes,cellular,否
21434,married,yes,no,unknown,否
21435,single,yes,no,unknown,否
21436,single,yes,no,cellular,否
21437,single,yes,yes,unknown,否
21438,married,no,no,telephone,否
21439,married,no,no,cellular,否
21440,married,yes,no,unknown,否
21441,single,no,yes,cellular,否
21442,single,no,no,cellular,否
21443,married,yes,no,cellular,否
21444,married,yes,no,unknown,否
21445,single,no,no,cellular,否
21446,single,yes,no,unknown,否
21447,married,no,no,cellular,否
21448,married,yes,yes,unknown,否
21449,single,yes,no,unknown,否
21450,married,yes,yes,unknown,否
21451,married,no,no,cellular,否
21452,married,yes,yes,cellular,否
21453,divorced,yes,no,cellular,否
21454,married,yes,no,cellular,否
21455,single,no,no,telephone,否
21456,single,yes,no,telephone,否
21457,married,no,no,unknown,否
21458,divorced,no,yes,cellular,否
21459,married,yes,no,cellular,否
21460,married,yes,no,cellular,否
21461,married,no,yes,cellular,否
21462,married,yes,no,cellular,否
21463,married,yes,no,cellular,否
21464,married,yes,no,cellular,否
21465,married,no,yes,cellular,否
21466,married,no,no,cellular,否
21467,married,yes,no,unknown,否
21468,divorced,yes,no,cellular,否
21469,single,no,no,cellular,否
21470,divorced,no,no,cellular,否
21471,married,yes,yes,unknown,否
21472,married,yes,no,cellular,否
21473,married,yes,yes,cellular,否
21474,married,no,no,cellular,否
21475,married,yes,no,unknown,否
21476,married,yes,yes,cellular,否
21477,single,no,yes,cellular,否
21478,married,yes,no,cellular,否
21479,married,yes,no,telephone,否
21480,married,yes,no,cellular,否
21481,single,no,no,cellular,否
21482,married,yes,no,cellular,否
21483,divorced,yes,no,cellular,否
21484,married,no,no,cellular,否
21485,married,no,no,telephone,否
21486,single,yes,no,unknown,否
21487,single,no,no,cellular,否
21488,married,yes,yes,cellular,否
21489,single,yes,no,telephone,否
21490,married,yes,yes,unknown,否
21491,married,yes,no,unknown,否
21492,married,no,no,unknown,否
21493,married,no,no,cellular,否
21494,married,yes,no,cellular,否
21495,married,yes,no,cellular,否
21496,married,yes,no,unknown,否
21497,married,no,yes,cellular,否
21498,married,yes,yes,cellular,否
21499,married,no,no,unknown,否
21500,divorced,no,no,cellular,否
21501,married,no,no,unknown,否
21502,divorced,no,no,cellular,否
21503,single,yes,no,cellular,否
21504,married,no,no,cellular,否
21505,single,yes,no,unknown,否
21506,married,no,no,unknown,否
21507,divorced,yes,no,cellular,否
21508,married,yes,yes,cellular,否
21509,married,no,no,unknown,否
21510,single,yes,no,unknown,否
21511,single,yes,no,unknown,否
21512,single,no,no,telephone,否
21513,married,no,no,telephone,否
21514,single,no,no,cellular,否
21515,married,yes,no,cellular,否
21516,married,yes,no,telephone,否
21517,married,no,yes,cellular,否
21518,married,yes,yes,cellular,否
21519,divorced,yes,no,cellular,否
21520,married,yes,no,unknown,否
21521,single,yes,yes,cellular,否
21522,single,yes,no,cellular,否
21523,married,no,no,unknown,否
21524,married,yes,yes,cellular,否
21525,married,yes,no,unknown,否
21526,married,yes,no,cellular,否
21527,divorced,yes,no,cellular,否
21528,single,yes,no,unknown,否
21529,single,yes,no,cellular,否
21530,married,no,yes,cellular,否
21531,married,yes,no,cellular,否
21532,single,yes,no,unknown,否
21533,single,yes,no,cellular,否
21534,married,no,yes,cellular,否
21535,divorced,yes,yes,unknown,否
21536,married,yes,no,unknown,否
21537,single,yes,no,cellular,否
21538,married,yes,yes,cellular,否
21539,single,yes,no,unknown,否
21540,married,no,no,cellular,否
21541,divorced,no,no,cellular,否
21542,married,yes,yes,cellular,否
21543,married,no,no,cellular,否
21544,married,yes,no,unknown,否
21545,married,no,no,cellular,否
21546,married,yes,no,cellular,否
21547,married,no,no,cellular,否
21548,single,yes,yes,cellular,否
21549,single,no,no,cellular,否
21550,married,yes,no,unknown,否
21551,married,no,no,cellular,否
21552,single,no,yes,telephone,否
21553,married,yes,no,unknown,否
21554,married,no,no,cellular,否
21555,married,yes,no,cellular,否
21556,married,no,no,cellular,否
21557,married,no,no,cellular,否
21558,single,yes,yes,cellular,否
21559,married,yes,no,cellular,否
21560,single,yes,no,cellular,否
21561,married,no,no,cellular,否
21562,married,yes,no,cellular,否
21563,divorced,yes,no,unknown,否
21564,married,no,yes,cellular,否
21565,married,yes,yes,cellular,否
21566,married,yes,no,cellular,否
21567,single,no,yes,cellular,否
21568,married,yes,no,cellular,否
21569,single,no,no,unknown,否
21570,married,yes,no,unknown,否
21571,married,yes,no,cellular,否
21572,married,yes,no,cellular,否
21573,married,yes,yes,cellular,否
21574,single,no,no,cellular,否
21575,married,no,yes,unknown,否
21576,married,no,no,cellular,否
21577,married,yes,yes,telephone,否
21578,single,yes,no,cellular,否
21579,married,yes,no,cellular,否
21580,married,no,no,cellular,否
21581,divorced,no,no,cellular,否
21582,married,no,yes,cellular,否
21583,married,no,no,cellular,否
21584,single,yes,no,cellular,否
21585,married,yes,no,unknown,否
21586,married,no,no,unknown,否
21587,single,yes,no,unknown,否
21588,married,no,yes,cellular,否
21589,married,no,no,cellular,否
21590,married,yes,no,unknown,否
21591,married,no,yes,cellular,否
21592,married,yes,yes,unknown,否
21593,married,no,no,cellular,否
21594,married,yes,no,unknown,否
21595,married,yes,no,unknown,否
21596,single,no,no,cellular,否
21597,married,no,no,cellular,否
21598,married,yes,no,cellular,否
21599,married,yes,no,cellular,否
21600,single,no,no,unknown,否
21601,single,no,no,cellular,否
21602,married,yes,no,cellular,否
21603,married,yes,no,unknown,否
21604,married,no,yes,cellular,否
21605,single,yes,no,unknown,否
21606,single,yes,no,cellular,否
21607,married,no,no,cellular,否
21608,single,yes,no,cellular,否
21609,married,no,no,cellular,否
21610,married,yes,no,unknown,否
21611,married,yes,no,cellular,否
21612,married,yes,no,cellular,否
21613,single,no,no,unknown,否
21614,married,yes,yes,cellular,否
21615,married,yes,no,cellular,否
21616,married,no,no,cellular,否
21617,single,no,no,cellular,否
21618,single,no,no,cellular,否
21619,single,yes,yes,cellular,否
21620,married,no,no,telephone,否
21621,divorced,no,yes,telephone,否
21622,married,no,no,cellular,否
21623,married,yes,no,unknown,否
21624,married,yes,no,cellular,否
21625,married,no,no,cellular,否
21626,single,yes,no,cellular,否
21627,married,no,no,telephone,否
21628,single,yes,no,cellular,否
21629,married,yes,no,cellular,否
21630,single,no,no,unknown,否
21631,married,yes,no,unknown,否
21632,married,yes,no,cellular,否
21633,married,no,no,telephone,否
21634,married,yes,no,cellular,否
21635,single,yes,no,cellular,否
21636,single,no,no,cellular,否
21637,single,yes,yes,cellular,否
21638,married,yes,no,cellular,否
21639,married,no,no,cellular,否
21640,single,no,no,cellular,否
21641,married,no,no,cellular,否
21642,single,yes,no,cellular,否
21643,single,yes,no,cellular,否
21644,divorced,yes,no,cellular,否
21645,married,no,no,cellular,否
21646,single,no,no,cellular,否
21647,married,yes,no,cellular,否
21648,single,yes,no,unknown,否
21649,single,yes,no,unknown,否
21650,single,no,no,cellular,否
21651,single,yes,no,unknown,否
21652,married,yes,yes,unknown,否
21653,single,yes,no,unknown,否
21654,single,no,no,cellular,否
21655,married,yes,no,unknown,否
21656,married,yes,no,unknown,否
21657,married,no,no,cellular,否
21658,married,no,no,cellular,否
21659,married,yes,no,unknown,否
21660,married,yes,no,unknown,否
21661,married,yes,yes,unknown,否
21662,married,no,no,cellular,否
21663,married,no,no,cellular,否
21664,married,yes,no,unknown,否
21665,divorced,no,no,cellular,否
21666,married,yes,no,cellular,否
21667,single,no,no,cellular,否
21668,single,yes,no,unknown,否
21669,married,no,no,telephone,否
21670,married,yes,no,unknown,否
21671,married,yes,yes,cellular,否
21672,married,yes,no,cellular,否
21673,single,no,no,cellular,否
21674,single,yes,no,unknown,否
21675,divorced,yes,no,unknown,否
21676,single,yes,no,unknown,否
21677,divorced,yes,no,unknown,否
21678,married,no,no,cellular,否
21679,married,no,no,cellular,否
21680,married,yes,no,unknown,否
21681,single,no,yes,cellular,否
21682,married,yes,no,cellular,否
21683,single,yes,no,cellular,否
21684,married,yes,no,cellular,否
21685,single,no,no,cellular,否
21686,single,yes,yes,unknown,否
21687,married,yes,no,cellular,否
21688,married,yes,no,cellular,否
21689,single,yes,yes,unknown,否
21690,single,no,no,unknown,否
21691,married,yes,no,unknown,否
21692,married,yes,yes,cellular,否
21693,married,yes,no,cellular,否
21694,single,yes,yes,cellular,否
21695,married,yes,no,unknown,否
21696,single,no,no,cellular,否
21697,married,yes,no,cellular,否
21698,married,no,no,telephone,否
21699,married,yes,no,unknown,否
21700,married,yes,no,cellular,否
21701,married,yes,no,cellular,否
21702,single,no,no,cellular,否
21703,married,no,no,cellular,否
21704,married,yes,no,cellular,否
21705,single,yes,no,unknown,否
21706,married,no,no,cellular,否
21707,single,yes,no,telephone,否
21708,married,yes,no,cellular,否
21709,married,yes,no,cellular,否
21710,married,yes,no,cellular,否
21711,married,yes,no,unknown,否
21712,married,yes,no,cellular,否
21713,married,yes,no,telephone,否
21714,married,yes,no,unknown,否
21715,single,yes,no,cellular,否
21716,married,yes,no,unknown,否
21717,married,no,no,cellular,否
21718,married,yes,no,unknown,否
21719,married,yes,no,unknown,否
21720,married,yes,no,cellular,否
21721,married,yes,yes,cellular,否
21722,married,yes,no,unknown,否
21723,married,no,no,cellular,否
21724,single,yes,no,unknown,否
21725,single,yes,no,unknown,否
21726,single,yes,yes,cellular,否
21727,married,yes,no,unknown,否
21728,married,yes,no,cellular,否
21729,divorced,no,no,cellular,否
21730,single,yes,yes,unknown,否
21731,married,yes,no,cellular,否
21732,married,no,no,cellular,否
21733,single,yes,no,cellular,否
21734,married,no,no,cellular,否
21735,divorced,no,no,unknown,否
21736,married,no,no,cellular,否
21737,married,yes,no,cellular,否
21738,married,no,yes,unknown,否
21739,married,yes,no,unknown,否
21740,single,yes,no,cellular,否
21741,divorced,yes,no,unknown,否
21742,married,no,no,cellular,否
21743,single,no,no,cellular,否
21744,married,yes,no,telephone,否
21745,married,yes,no,unknown,否
21746,divorced,yes,yes,cellular,否
21747,married,yes,no,unknown,否
21748,single,no,yes,cellular,否
21749,single,no,no,cellular,否
21750,single,no,no,cellular,否
21751,married,yes,yes,cellular,否
21752,married,yes,no,unknown,否
21753,divorced,no,no,cellular,否
21754,married,yes,no,cellular,否
21755,married,no,no,cellular,否
21756,single,yes,no,unknown,否
21757,married,no,yes,unknown,否
21758,married,yes,no,unknown,否
21759,divorced,yes,no,cellular,否
21760,single,yes,no,cellular,否
21761,married,yes,no,unknown,否
21762,divorced,no,no,telephone,否
21763,married,yes,no,cellular,否
21764,married,yes,no,cellular,否
21765,married,yes,no,cellular,否
21766,married,yes,yes,cellular,否
21767,married,yes,no,cellular,否
21768,married,yes,yes,cellular,否
21769,divorced,yes,no,unknown,否
21770,married,yes,yes,cellular,否
21771,married,no,no,cellular,否
21772,single,yes,no,cellular,否
21773,married,yes,no,cellular,否
21774,single,no,no,cellular,否
21775,married,no,no,unknown,否
21776,single,no,no,cellular,否
21777,married,no,no,cellular,否
21778,married,no,no,cellular,否
21779,single,yes,no,unknown,否
21780,single,yes,no,cellular,否
21781,single,yes,no,cellular,否
21782,married,no,yes,cellular,否
21783,single,yes,no,cellular,否
21784,married,yes,no,cellular,否
21785,married,no,no,cellular,否
21786,married,no,no,telephone,否
21787,married,yes,no,cellular,否
21788,married,yes,no,unknown,否
21789,married,yes,no,cellular,否
21790,married,no,no,telephone,否
21791,married,yes,no,cellular,否
21792,divorced,no,no,cellular,否
21793,single,no,no,cellular,否
21794,married,yes,no,cellular,否
21795,married,no,no,cellular,否
21796,married,yes,no,telephone,否
21797,divorced,yes,no,unknown,否
21798,divorced,yes,no,cellular,否
21799,divorced,no,no,cellular,否
21800,married,no,no,unknown,否
21801,single,no,yes,cellular,否
21802,married,no,no,cellular,否
21803,single,no,no,cellular,否
21804,married,no,no,unknown,否
21805,married,no,no,cellular,否
21806,married,no,no,unknown,否
21807,married,no,no,unknown,否
21808,single,yes,no,unknown,否
21809,married,yes,no,unknown,否
21810,married,yes,no,cellular,否
21811,married,no,no,cellular,否
21812,married,no,no,cellular,否
21813,single,no,yes,cellular,否
21814,married,no,yes,cellular,否
21815,married,yes,no,cellular,否
21816,married,no,yes,cellular,否
21817,married,yes,yes,cellular,否
21818,married,no,no,cellular,否
21819,divorced,no,no,cellular,否
21820,married,no,no,telephone,否
21821,divorced,yes,no,cellular,否
21822,married,yes,no,cellular,否
21823,married,no,no,unknown,否
21824,married,no,no,cellular,否
21825,married,no,no,cellular,否
21826,single,yes,no,cellular,否
21827,married,yes,no,telephone,否
